clip_id,final_x_offset,final_y_offset,scenario
fb39af1b-24ac-4917-8d9d-6b26d0ae657f,55.412,6.796,Turn Left / Lane Change Left
1659e3df-0c24-4d19-8210-5e65e335bae4,109.516,0.037,Keep Lane / Straight
4898e56c-4fdf-4840-a50f-fe060456054c,82.715,2.635,Turn Left / Lane Change Left
64657277-871f-41a2-b508-a60a702cf15c,16.314,3.005,Turn Left / Lane Change Left
0843013c-c8a8-439d-afca-b637b2280369,75.446,-23.783,Turn Right / Lane Change Right
2532fb2e-5068-44f6-9f64-2256d852d51d,26.056,0.061,Keep Lane / Straight
69d2f891-54fb-4673-b9b8-cfbe3bac78b2,49.639,7.265,Turn Left / Lane Change Left
b81e25a6-e709-4b81-b956-65da93278c8d,54.412,-7.445,Turn Right / Lane Change Right
ea7bde4a-11f4-4732-97d5-a6f1d1272fa1,40.711,20.331,Turn Left / Lane Change Left
faf67105-5077-43a7-83d0-49ca0252b51a,13.429,14.236,Turn Left / Lane Change Left
39da1b9f-0e30-4378-a02d-b2f780e5a8f6,65.982,0.881,Keep Lane / Straight
afa415ae-4a7a-4f1e-9572-8764a5ecb70d,18.698,-0.514,Keep Lane / Straight
f58203ed-047c-4d48-9c77-61266790e5bf,101.333,-0.127,Keep Lane / Straight
69bf276b-21cc-484c-947e-74bc45f967ef,58.237,0.628,Keep Lane / Straight
5fee3fc7-f53a-43b3-b548-261517ae9101,39.736,-0.610,Keep Lane / Straight
851dcbcd-8052-4f51-b485-48c1329f1bb9,63.805,11.731,Turn Left / Lane Change Left
5dc62a57-3e45-4356-9330-818e90b72575,-0.000,-0.000,Keep Lane / Straight
0f296183-ffa9-4331-9b7d-b9d45d6a14ec,45.259,-0.115,Keep Lane / Straight
1a2898ce-dfa9-4a41-aea6-a6a5e4695b97,34.786,-1.086,Keep Lane / Straight
5b147651-bba4-4681-873b-2339f23e81db,91.613,7.240,Turn Left / Lane Change Left
75fd9fbc-a1cd-4019-b356-c12fd11010db,42.509,35.689,Turn Left / Lane Change Left
96bd13d8-3756-465d-8ee1-9e30f763bdce,92.523,3.235,Turn Left / Lane Change Left
9c99b841-7bf4-48cc-b8c4-deef6ab71c8a,0.000,0.000,Keep Lane / Straight
3f175574-9279-49f7-b510-d4515c821aeb,39.665,15.321,Turn Left / Lane Change Left
4d6a0f05-c208-4479-bf99-3f233e569782,108.684,33.688,Turn Left / Lane Change Left
707c04f3-b504-4762-97d8-3b8081a6128a,101.290,-6.026,Turn Right / Lane Change Right
5bc26c28-30f3-49e6-b190-aced3e67e00e,23.842,-0.005,Keep Lane / Straight
d3c54942-9af0-49c3-a125-81960d6a16f8,71.337,7.969,Turn Left / Lane Change Left
76132400-26af-479a-a6c8-0f247a14037c,35.371,0.090,Keep Lane / Straight
25c0eb85-28c3-43f7-a848-2ca403808b75,76.122,-15.366,Turn Right / Lane Change Right
83a62405-ca1b-4adf-bbeb-9310e9168449,59.115,0.030,Keep Lane / Straight
0e1656dc-086f-4d45-9474-3eb5b6377c59,47.580,-0.229,Keep Lane / Straight
3b1bcc11-f051-4ab4-9334-90723e21b591,18.631,34.952,Turn Left / Lane Change Left
3ada3b7e-6b72-4a8b-a863-22e9073585d0,102.992,-25.440,Turn Right / Lane Change Right
15bdf89c-f5db-4af0-9227-0c259a518dba,181.607,-6.902,Turn Right / Lane Change Right
1bc03134-c047-44ce-b7f3-a52aa26708ef,91.460,0.327,Keep Lane / Straight
0109a518-69a0-4355-afde-5e617e06415e,16.133,0.630,Keep Lane / Straight
3d10169c-fb37-44ed-8e3e-1891915b9786,12.874,0.121,Keep Lane / Straight
4c8fe364-4ad1-4e32-b94a-f3478502cab4,43.568,-0.158,Keep Lane / Straight
6659ad6d-3ecf-463c-8a8d-defa10733457,106.184,-0.406,Keep Lane / Straight
1ea521d2-c0ad-40b0-acf3-49042d155d30,39.396,2.784,Turn Left / Lane Change Left
1bad1980-82f3-4683-8e77-1dfffc32c4bd,74.787,0.343,Keep Lane / Straight
5c2c3c28-f7e9-4ddc-8a4d-22ef4aa8f859,102.951,-0.929,Keep Lane / Straight
693d8ed9-faeb-4775-a061-80a89d79459b,41.470,0.694,Keep Lane / Straight
f9ba062e-ada7-4269-9087-c6924a4ce781,6.706,0.008,Keep Lane / Straight
aa56971d-ac5e-4d66-9b99-f3f14ac98894,93.918,-0.128,Keep Lane / Straight
32aef0ab-2d7b-4152-aa99-809e12a82c2c,77.183,1.200,Keep Lane / Straight
0dd37167-758d-4f4e-9637-9b608711e17d,31.174,0.337,Keep Lane / Straight
0a68b99a-efdd-4433-aa58-ec1fa8d50908,82.832,-20.781,Turn Right / Lane Change Right
b96ad315-6cfd-4a42-ba2e-e7028f5f5b9c,70.909,5.513,Turn Left / Lane Change Left
2f15a704-91ec-4355-8a25-e4518e0debfa,73.389,-0.376,Keep Lane / Straight
64a50114-f702-4f87-a010-0b4052ff86ab,18.124,-40.004,Turn Right / Lane Change Right
115b56f9-0134-43df-913a-ee0cfc1b7032,68.299,-1.875,Keep Lane / Straight
ed4763d7-dce0-440d-9a66-ad218e3867e3,5.863,0.006,Keep Lane / Straight
0b5b8ddd-6f27-43f2-b1d0-5b44acc695f3,21.383,-0.050,Keep Lane / Straight
1c1e51e0-0805-4afa-950c-01f34d6d0fb2,87.277,9.552,Turn Left / Lane Change Left
adcdbe56-b948-4077-8e55-10a549675494,104.467,2.079,Keep Lane / Straight
af9b3d5b-232a-4e6e-bd5d-f8451f1b7e13,67.442,-0.466,Keep Lane / Straight
4187f01a-5d63-4a38-97b2-6b7e3f3cf943,90.667,-0.926,Keep Lane / Straight
